Berberis erythroclada
Berberis fengii
Berberis forrestii
Berberis francisci-ferdinandi
Berberis gilungensis
Berberis graminea
Berberis gyalaica
Berberis hemsleyana
Berberis hobsonii
Berberis humido-umbrosa
Berberis hypericifolia
Berberis jamesiana
Berberis jiulongensis
Berberis johannis
Berberis kangdingensis
Berberis kartanica
Berberis kongboensis
Berberis lecomtei
Berberis lijiangensis
Berberis longispina
Berberis lubrica
Berberis ludlowii
Berberis luhuoensis
Berberis medogensis
Berberis mekongensis
Berberis metapolyantha
Berberis mianningensis
Berberis muliensis
Berberis multicaulis
Berberis multiovula
Berberis multiserrata
Berberis nullinervis
Berberis nutanticarpa
Berberis obovatifolia
Berberis pallens
Berberis papillifera
Berberis parapruinosa
Berberis pingwuensis
Berberis platyphylla
Berberis polyantha
Berberis prattii
Berberis pseudoamoena
Berberis pulangensis
Berberis racemulosa
Berberis reticulinervis
Berberis retusa
Berberis sabulicola
Berberis sherriffii
Berberis sichuanica
Berberis stiebritziana
Berberis taronensis
Berberis taylorii
Berberis temolaica
Berberis tenuipedicellata
Berberis tischleri
Berberis tomentulosa
Berberis trichiata
Berberis tsangpoensis
Berberis tsarica
Berberis tsarongensis
Berberis umbratica
Berberis vernae
Berberis vinifera
Berberis weixiensis
Berberis xanthophlaea
Berberis yunnanensis
Berberis zayulana
Dysosma tsayuensis
Epimedium elongatum
Epimedium flavum
Epimedium pauciflorum
Mahonia calamicaulis
Mahonia monyulensis
Mahonia taronensis
Betula bomiensis
Betula calcicola
Betula delavayi
Betula jiulungensis
Betula potaninii
Betula rhombibracteata
Carpinus sungpanensis
Corylus wangii
Ostryopsis nobilis
Catalpa tibetica
Incarvillea altissima
Incarvillea beresowskii
Incarvillea compacta
Incarvillea delavayi
Incarvillea dissectifoliola
Incarvillea forrestii
Incarvillea lutea
Incarvillea mairei
Incarvillea younghusbandii
Cynoglossum triste
Eritrichium acicularum
Eritrichium angustifolium
Eritrichium axillare
Eritrichium deqinense
Eritrichium echinocaryum
Eritrichium gracile
Eritrichium hemisphaericum
Eritrichium heterocarpum
Eritrichium humillimum
Eritrichium kangdingense
Eritrichium lasiocarpum
Eritrichium laxum
Eritrichium longifolium
Eritrichium longipes
Eritrichium medicarpum
Eritrichium pectinatociliatum
Eritrichium petiolare
Eritrichium qofengense
Eritrichium sessilifructum
Eritrichium sinomicrocarpum
Eritrichium tangkulaense
