拉丁名,纬度-Latitude,经度 - Longitude
Brassaiopsis tibetana,24.7905,97.6755
Eleutherococcus baoxinensis,23.351747,113.411891
Eleutherococcus lasiogyne,30.1351,95.0181
Eleutherococcus verticillatus,29.63,94.36
Eleutherococcus xizangensis,28.66,97.46
Hydrocotyle salwinica,29.32,95.33
Schefflera wardii,30.0087,94.9578
Schefflera zhuana,29.32,95.33
Calamus acanthospathus,27.6903,98.280701
Trachycarpus princeps,35.86,104.2
Aristolochia delavayi,27.374855,100.371211
Aristolochia obliqua,35.86,104.2
Aristolochia zhongdianensis,29.1031,99.6319
Asparagus kansuensis,35.555814,106.046122
Asparagus munitus,27.2822,100.85195
Asparagus myriacanthus,28.661276,97.466916
Asparagus przewalskyi,40.492344,115.105519
Asparagus sichuanicus,31.13,97.18
Asparagus tibeticus,32.061655,102.990174
Asparagus yanyuanensis,27.42,101.5
Chlorophytum chinense,30,99.1
Liriope kansuensis,31.084,103.267
Maianthemum forrestii,27.603457,99.888737
Maianthemum gongshanense,25.9725,98.683611
Maianthemum lichiangense,28.9164,102.216
Maianthemum szechuanicum,30.843109,102.709563
Ophiopogon lushuiensis,35.86,104.2
Ophiopogon yunnanensis,35.86,104.2
Polygonatum curvistylum,26.876096,100.229945
Polygonatum hirtellum,29,101.5
Ainsliaea foliosa,28.48611,98.911543
Ainsliaea macrocephala,26.876096,100.229945
Ainsliaea mattfeldiana,29.037008,100.298406
Ainsliaea smithii,31.43,103.17
Ajania adenantha,25.584234,100.222124
Ajania brachyantha,28.67,87.12
Ajania elegantula,32.1431,97.2706
Ajania hypoleuca,32.943816,104.683378
Ajania nitida,30.055305,101.96483
Ajania purpurea,29.65,91.12
Ajania ramosa,32.3169,96.6267
Ajania tripinnatisecta,27.928607,101.279419
Ajania truncata,30.99,102.36
Ajaniopsis penicilliformis,29.68,89.09
Allardia lasiocarpa,33.38,79.73
Anaphalis acutifolia,28.85,85.29
Anaphalis batangensis,30,99.1
Anaphalis bicolor,32.9911,97.3481
Anaphalis chlamydophylla,27.25,100.17
Anaphalis chungtienensis,27.82308,99.706013
Anaphalis cinerascens,28.40369,99.449722
Anaphalis delavayi,35.86,104.2
Anaphalis elegans,29.914155,102.234618
Anaphalis gracilis,26.537043,99.905548
Anaphalis hymenolepis,32.26,100.97
Anaphalis lactea,38.78,101.08
Anaphalis larium,28.48611,98.911543
Anaphalis latialata,32.1028,97.0419
Anaphalis likiangensis,26.56023,100.17643
Anaphalis oxyphylla,35.86,104.2
Anaphalis plicata,29.7408,91.1164
Anaphalis porphyrolepis,29.9,94.87
Anaphalis rhododactyla,35.86,104.2
Anaphalis souliei,30.0403,101.838
Anaphalis spodiophylla,29.03,93.9
Anaphalis stenocephala,28.661276,97.466916
Anaphalis suffruticosa,26.876096,100.229945
Anaphalis szechuanensis,28.713041,99.286333
Anaphalis tenuisissima,30.99903,102.364372
Anaphalis tibetica,28.491111,98.939722
Anaphalis virens,29.0725,99.6322
Anaphalis viridis,28.596944,99.867778
Artemisia abaensis,28.48611,98.911543
Artemisia aksaiensis,39.08,117.24
Artemisia baimaensis,34.047,104.393
Artemisia comaiensis,31.1094,96.8744
Artemisia conaensis,30.05,101.96
Artemisia duthreuil-de-rhinsi,35.261667,98.9825
Artemisia erlangshanensis,30.06,102.75
Artemisia fulgens,39.879848,114.630747
Artemisia gongshanensis,27.583334,98.78333
Artemisia gyangzeensis,39.43,111.5
Artemisia gyitangensis,34.047,104.393
Artemisia imponens,28.93,99.79
Artemisia jilongensis,28.85,85.29
Artemisia kangmarensis,28.55,89.68
Artemisia mattfeldii,36.519977,103.891767
Artemisia nanschanica,34.5942,99.8392
Artemisia nujianensis,28.71,99.28
Artemisia occidentali-sinensis,27.82308,99.706013
Artemisia pamirica,37.88,77.41
Artemisia pewzowii,33.000556,97.328889
Artemisia phyllobotrys,30.14,101.86
Artemisia prattii,29.65,91.05
Artemisia przewalskii,36.316067,101.86665
Artemisia robusta,27.740736,98.66582
Artemisia sinensis,28.48611,98.911543
Artemisia smithii,32.58333,103.83333
Artemisia speciosa,31.8,98.58
Artemisia succulentoides,29.65,91.12
Artemisia tafelii,29.32,95.33
Artemisia tainingensis,36.519977,103.891767
Artemisia tangutica,30.05389,101.95667
Artemisia tridactyla,36.519977,103.891767
Artemisia viscida,27.928607,101.279419
Artemisia viscidissima,34.047,104.393
Artemisia waltonii,33.0006,97.3289
Artemisia xigazeensis,29.65,91.12
Artemisia yadongensis,27.48,88.9
Artemisia younghusbandii,36.519977,103.891767
Artemisia youngii,29.67,97.85
Artemisia yunnanensis,35.86,104.2
Artemisia zayuensis,27.740736,98.66582
Artemisia zhongdianensis,29.1031,99.6319
Aster argyropholis,30.91,102.54
Aster batangensis,30.47,99.5
Aster bietii,25,102
Aster bipinnatisectus,29.969,93.694
Aster brevis,28.388889,99.0275
